war_id,war_name,war_type,war_type_code,start_date,end_date,belligerents_side1,belligerents_side2,initiator,outcome,total_deaths,where_fought,source_file
NS1540,Filibuster War,Non-State War (非国家战争),8,1856-02-26,1857-05-01,Nicaragua; -8,Costa Rica; Honduras; Guatemala;  El Salvador; -8,Costa Rica,失败 (Defeat),7700,北美 (North America),Non-StateWarData_v4.0.csv
ES345,French Conquest of Kabylia,Extra-State War (国家对外战争),2,1856-05-17,1857-12-01,France,Kabylia,France,胜利 (Victory),1000,拉美 (Latin America),Extra-StateWarData_v4.0.csv
NS1541,Han-Panthay War Phase 1,Non-State War (非国家战争),8,1856-05-19,1860-10-24,Han; -8,Yunnan Muslims; -8; -8; -8; -8,Yunnan Muslims,转型 (Transformed),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES343,Second Opium,Extra-State War (国家对外战争),3,1856-10-22,1860-10-24,United Kingdom; France,China; -8,France,胜利 (Victory),300,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IS25,Anglo-Persian,Inter-State War (国家间战争),1,1856-10-25,1857-04-05,United Kingdom,Iran,Iran,胜利 (Victory),2000,中东/北非 (Middle East/North Africa),Inter-StateWarData_v4.0.csv
IN560,Second Peru,Intra-State War (国内战争-中央政府),4,1856-10-31,1858-03-07,Peru,Conservatives,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
NS1542,First Zulu Internecine War,Non-State War (非国家战争),8,1856-12-02,1856-12-02,Mbuyazi faction; -8,Cetshwayo faction; -8; -8; -8; -8,Mbuyazi faction,失败 (Defeat),5000,拉美 (Latin America),Non-StateWarData_v4.0.csv
NS1543,Kucha and Khoja Uprising,Non-State War (非国家战争),8,1857-01-01,1857-09-01,Kucha; Khoja,China; -8; -8; -8; -8,Kucha,失败 (Defeat),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES347,Indian Mutiny,Extra-State War (国家对外战争),2,1857-05-10,1859-04-07,United Kingdom,Indian sepoys,,胜利 (Victory),11000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1544,First Boer-Basuto War,Non-State War (非国家战争),8,1858-01-01,1858-01-01,Basuto; -8,Boers; -8; -8; -8; -8,Boers,僵局 (Stalemate),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
NS1545,First Ethiopian War,Non-State War (非国家战争),8,1858-01-01,1861-01-01,Ethiopia; -8,Provincial armies; -8; -8; -8; -8,Provincial armies,胜利 (Victory),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
IN561,Mexican Reform,Intra-State War (国内战争-中央政府),4,1858-02-15,1861-01-01,Mexico,Liberals,,转型 (Transformed),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN562,Second Turco-Montenegrin,Intra-State War (国内战争-地方政府),5,1858-05-04,1859-06-01,Ottoman Empire,Montenegrins,,失败 (Defeat),4400,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
ES349,First Franco-Vietnamese,Extra-State War (国家对外战争),3,1858-08-31,1862-06-05,France,Vietnam,France,胜利 (Victory),1500,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IN563,Second Venezuelan/Federalist,Intra-State War (国内战争-中央政府),4,1859-02-01,1863-05-23,Venezuela,Liberals,,失败 (Defeat),20000,北美 (North America),Intra-StateWarData_v4.1.csv
ES350,Netherlands-Bone,Extra-State War (国家对外战争),3,1859-02-20,1860-01-20,Netherlands,Bone,Netherlands,胜利 (Victory),500,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IS28,Italian Unification,Inter-State War (国家间战争),1,1859-04-29,1859-07-12,Sardinia/Piedmont; France,Austria,,胜利 (Victory),22500,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
ES351,Argentine-Buenos Aires,Extra-State War (国家对外战争),3,1859-05-29,1859-10-23,Argentina,Buenos Aires,Argentina,胜利 (Victory),500,北美 (North America),Extra-StateWarData_v4.0.csv
IS31,First Spanish-Moroccan,Inter-State War (国家间战争),1,1859-10-22,1860-03-25,Spain,Morocco,Spain,胜利 (Victory),10000,中东/北非 (Middle East/North Africa),Inter-StateWarData_v4.0.csv
NS1546,Second Tukulor War,Non-State War (非国家战争),8,1860-01-01,1862-03-16,Umar Tal; -8,Bambara; -8; -8; -8; -8,Umar Tal,胜利 (Victory),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
ES352,Garibaldi Expedition,Extra-State War (国家对外战争),3,1860-05-11,1860-10-14,Two Sicilies,Red Shirts,,转型 (Transformed),4500,西欧 (Western Europe),Extra-StateWarData_v4.0.csv
IN565,Second Colombian,Intra-State War (国内战争-中央政府),4,1860-05-15,1861-07-18,Colombia,Liberals,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN566,Second Maronite-Druze,Intra-State War (国内战争-非政府),7,1860-05-26,1860-07-12,Maronites,Druze,,失败 (Defeat),9500,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
IS34,Italian-Roman,Inter-State War (国家间战争),1,1860-09-11,1860-09-29,Sardinia/Piedmont,Papal States,Papal States,胜利 (Victory),1000,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
IS37,Neapolitan,Inter-State War (国家间战争),1,1860-10-15,1861-02-13,Sardinia/Piedmont,Two Sicilies,Sardinia/Piedmont,胜利 (Victory),1000,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
IN570,Miao Revolt Phase 2,Intra-State War (国内战争-地方政府),5,1860-10-25,1872-05-01,China,Miaos,,胜利 (Victory),-18,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN567,"Taiping Rebellion, Phase 2",Intra-State War (国内战争-中央政府),4,1860-10-25,1866-02-09,China; United Kingdom,Taipings; -8,,胜利 (Victory),111017,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN568,Second Nien Revolt,Intra-State War (国内战争-地方政府),5,1860-10-25,1868-08-16,China,Niens,,胜利 (Victory),-18,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN571,Panthay Rebellion Phase 2,Intra-State War (国内战争-地方政府),5,1860-10-25,1872-12-26,China,Muslims (Hui),,胜利 (Victory),-18,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN572,U.S. Civil War,Intra-State War (国内战争-地方政府),5,1861-04-10,1865-04-09,United States of America,Confederacy,,胜利 (Victory),618000,北美 (North America),Intra-StateWarData_v4.1.csv
IN573,Third Buenos Aires,Intra-State War (国内战争-地方政府),5,1861-08-20,1861-12-02,Argentina,Buenos Aires,,失败 (Defeat),1000,北美 (North America),Intra-StateWarData_v4.1.csv
IN575,Third Turco-Montenegrin,Intra-State War (国内战争-地方政府),5,1861-12-01,1862-08-31,Turkey,Montenegro,,妥协 (Compromise),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
NS1548,Transvaal War,Non-State War (非国家战争),8,1862-04-01,1864-01-01,Regional governments; -8,Transvaal government; -8; -8; -8; -8,Regional governments,失败 (Defeat),6000,拉美 (Latin America),Non-StateWarData_v4.0.csv
IS40,Franco-Mexican,Inter-State War (国家间战争),1,1862-04-16,1867-02-05,Mexico,France,,转型 (Transformed),20000,北美 (North America),Inter-StateWarData_v4.0.csv
IN576,Tungan Rebellion,Intra-State War (国内战争-地方政府),5,1862-05-01,1873-10-24,China,Muslims  in Sinkiang,,胜利 (Victory),-18,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN577,Sioux-Minnesota,Intra-State War (国内战争-非政府),6,1862-08-17,1862-09-26,Santee Sioux,Settlers & militia,,失败 (Defeat),1068,北美 (North America),Intra-StateWarData_v4.1.csv
IN578,Bolivan Perez Rebellion,Intra-State War (国内战争-中央政府),4,1862-09-15,1862-09-15,Boliva,Gregorio Perez's followers,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN580,Second Polish,Intra-State War (国内战争-地方政府),5,1863-01-22,1864-04-19,Russia,Poles,,胜利 (Victory),16500,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
NS1550,Central American War,Non-State War (非国家战争),8,1863-01-23,1863-11-15,Guatemala; Nicaragua,El Salvador; Honduras; -8; -8; -8,Guatemala,胜利 (Victory),0,北美 (North America),Non-StateWarData_v4.0.csv
ES353,Spanish-Santo Dominican,Extra-State War (国家对外战争),2,1863-04-01,1865-05-03,Spain,Santo Domingo,Spain,失败 (Defeat),28000,北美 (North America),Extra-StateWarData_v4.0.csv
IN581,Second Argentina,Intra-State War (国内战争-中央政府),4,1863-04-02,1863-11-12,Argentina,Montoneros,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
ES355,British-Maori,Extra-State War (国家对外战争),2,1863-06-04,1866-01-14,United Kingdom,New Zealand Maori,United Kingdom,胜利 (Victory),700,跨地区 (Multi-regional),Extra-StateWarData_v4.0.csv
ES356,Shimonoseki War,Extra-State War (国家对外战争),3,1863-06-25,1864-09-07,United States; United Kingdom; Netherlands; France,Choshu Daimyo; -8; -8; -8,,胜利 (Victory),26,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES357,British Umbeyla Campaign,Extra-State War (国家对外战争),3,1863-10-20,1863-12-21,United Kingdom,Pathan tribe,United Kingdom,胜利 (Victory),900,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IS43,Ecuadorian-Colombian,Inter-State War (国家间战争),1,1863-11-22,1863-12-06,Colombia,Ecuador,Ecuador,胜利 (Victory),1000,北美 (North America),Inter-StateWarData_v4.0.csv
IS46,Second Schleswig-Holstein,Inter-State War (国家间战争),1,1864-02-01,1864-04-25,Germany; Austria,Denmark,Denmark,胜利 (Victory),4481,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
ES359,Russian-Kokand,Extra-State War (国家对外战争),3,1864-04-24,1865-06-17,Russia,Kokand,Russia,胜利 (Victory),120,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1551,First Australian Aboriginal War,Non-State War (非国家战争),8,1864-12-18,1865-12-18,Aborigines; -8,White Settlers; -8; -8; -8; -8,White Settlers,释放 (Released),1000,跨地区 (Multi-regional),Non-StateWarData_v4.0.csv
ES360,British-Bhutanese,Extra-State War (国家对外战争),3,1865-01-01,1865-11-11,United Kingdom,Bhutan,United Kingdom,胜利 (Victory),100,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IS49,Lopez,Inter-State War (国家间战争),1,1865-03-05,1870-03-01,Argentina; Brazil,Paraguay,,胜利 (Victory),310000,北美 (North America),Inter-StateWarData_v4.0.csv
NS1552,Second Boer-Basuto War,Non-State War (非国家战争),8,1865-06-09,1866-04-03,Orange Free State; -8,Basuto; -8; -8; -8; -8,Orange Free State,胜利 (Victory),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
IS52,Naval War,Inter-State War (国家间战争),1,1865-09-25,1866-05-09,Chile; Peru,Spain,,胜利 (Victory),1000,北美 (North America),Inter-StateWarData_v4.0.csv
ES361,Russian-Bukharan,Extra-State War (国家对外战争),3,1866-01-12,1866-10-18,Russia,Bukhara,Russia,胜利 (Victory),100,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IN583,First  Cretan,Intra-State War (国内战争-地方政府),5,1866-05-29,1867-02-22,Ottoman Empire,Cretans,,胜利 (Victory),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IS55,Seven Weeks,Inter-State War (国家间战争),1,1866-06-20,1866-07-26,Italy; Germany; Mecklenburg Schwerin,Hesse Grand Ducal; Wuerttemburg; Bavaria; Austria; Hesse Electoral; Saxony; Baden; Hanover,Hanover,胜利 (Victory),44100,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
IN585,Yellow Cliff Revolt,Intra-State War (国内战争-地方政府),5,1866-10-01,,China,Zhang Jizhong's followers,,胜利 (Victory),-18,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN586,Third Argentina,Intra-State War (国内战争-中央政府),4,1866-12-15,1867-10-15,Argentina,Montoneros,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN587,Queretaro,Intra-State War (国内战争-中央政府),4,1867-02-06,1867-05-14,Mexico,Liberals,,失败 (Defeat),2500,北美 (North America),Intra-StateWarData_v4.1.csv
ES362,British-Ethiopian,Extra-State War (国家对外战争),3,1867-12-01,1868-04-13,United Kingdom,Ethiopians,United Kingdom,胜利 (Victory),400,拉美 (Latin America),Extra-StateWarData_v4.0.csv
IN588,Meiji Restoration,Intra-State War (国内战争-中央政府),4,1868-01-03,1868-07-04,Japan,Tokugawa,,胜利 (Victory),-18,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN590,Third Venezuelan,Intra-State War (国内战争-中央政府),4,1868-01-11,1868-08-14,Venezuela,Conservatives,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
NS1553,Second Ethiopian War,Non-State War (非国家战争),8,1868-04-13,1872-01-21,Tigray; -8,Ethiopia; -8; -8; -8; -8,Ethiopia,胜利 (Victory),35000,拉美 (Latin America),Non-StateWarData_v4.0.csv
IN591,Spanish Liberals,Intra-State War (国内战争-中央政府),4,1868-09-18,1868-09-29,Spain,Liberals,,失败 (Defeat),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
ES363,First Spanish-Cuban,Extra-State War (国家对外战争),2,1868-10-10,1878-02-11,Spain,Cuba,,胜利 (Victory),100000,北美 (North America),Extra-StateWarData_v4.0.csv
ES364,Attack on Bahr el-Ghazal,Extra-State War (国家对外战争),3,1869-01-01,1870-01-01,Egypt,Bahr el-Ghazal,Egypt,失败 (Defeat),0,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
IN592,Guerre des Cacos,Intra-State War (国内战争-中央政府),4,1869-02-01,1869-12-18,Haiti,Black peasants,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
NS1554,Uruguay Colorados-Blancos War,Non-State War (非国家战争),8,1870-03-05,1872-04-06,Blancos; -8,Colorados; -8; -8; -8; -8,Blancos,失败 (Defeat),0,北美 (North America),Non-StateWarData_v4.0.csv
IN593,Fourth Argentina,Intra-State War (国内战争-地方政府),5,1870-05-20,1871-03-13,Argentina,Entre Rios Province,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IS58,Franco-Prussian,Inter-State War (国家间战争),1,1870-07-19,1870-11-25,Wuerttemburg; Baden; Germany; Bavaria,France,,胜利 (Victory),204313,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
IN595,Bolivia-Criollos,Intra-State War (国内战争-中央政府),4,1870-11-24,1871-01-15,Bolivia,Crillos,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
ES365,Ottoman Conquest of Arabia,Extra-State War (国家对外战争),3,1870-11-30,1872-12-30,Ottoman Empire,"Yemen, Asir, Hasa",,胜利 (Victory),4000,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
ES366,Second Franco-Algerian,Extra-State War (国家对外战争),2,1871-03-01,1872-01-01,France,Algeria,,胜利 (Victory),2686,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
IN596,Paris Commune,Intra-State War (国内战争-中央政府),4,1871-04-02,1871-05-29,France,Communards,,胜利 (Victory),25879,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN582,Xinjiang Muslim Revolt,Intra-State War (国内战争-地方政府),5,1871-06-24,1871-07-03,Russia; China,-8; Muslims,,失败 (Defeat),-35,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IN597,Third Carlist,Intra-State War (国内战争-中央政府),4,1872-04-20,1876-02-20,Spain,Carlists,,胜利 (Victory),50000,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
ES367,Second British-Ashanti,Extra-State War (国家对外战争),3,1873-01-01,1874-02-04,United Kingdom,Ashanti,,胜利 (Victory),100,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES370,First Dutch-Achinese,Extra-State War (国家对外战争),3,1873-03-26,1878-10-13,Netherlands,Aceh,,胜利 (Victory),12000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES369,Second Franco-Vietnamese,Extra-State War (国家对外战争),3,1873-11-20,1874-01-01,France,Vietnam,France,妥协 (Compromise),400,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IN598,Catonalist Uprising,Intra-State War (国内战争-地方政府),5,1874-01-01,1875-01-01,Spain,Rebel cities (cantons),,胜利 (Victory),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN600,Fifth Argentina,Intra-State War (国内战争-中央政府),4,1874-09-01,1874-11-06,Argentina,Mitre led Rebels,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN601,Bosnia & Bulgaria Revolt,Intra-State War (国内战争-地方政府),5,1875-06-30,1876-06-29,Ottoman Empire,Bosnia & Bulgaria,,转型 (Transformed),9000,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
ES371,Kokand Rebellion,Extra-State War (国家对外战争),3,1875-08-09,1876-02-28,Russia,Kokand,,胜利 (Victory),100,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES372,Egyptian-Ethiopian,Extra-State War (国家对外战争),3,1875-09-01,1876-03-09,Egypt,Ethiopia,Egypt,失败 (Defeat),4250,拉美 (Latin America),Extra-StateWarData_v4.0.csv
IN602,Diaz Revolt,Intra-State War (国内战争-中央政府),4,1876-03-01,1876-11-23,Mexico,Rebels,,失败 (Defeat),1891,北美 (North America),Intra-StateWarData_v4.1.csv
IS60,First Central American,Inter-State War (国家间战争),1,1876-03-27,1876-04-25,Guatemala,El Salvador,El Salvador,胜利 (Victory),4000,北美 (North America),Inter-StateWarData_v4.0.csv
IN603,Defeat of Xinjiang Muslims,Intra-State War (国内战争-地方政府),5,1876-04-01,1877-12-01,China,Muslims,,胜利 (Victory),-18,亚洲 (Asia),Intra-StateWarData_v4.1.csv
ES373,Serbian-Turkish,Extra-State War (国家对外战争),3,1876-06-30,1877-04-23,Ottoman Empire,"Serbia, Montenegro",,转型 (Transformed),0,西欧 (Western Europe),Extra-StateWarData_v4.0.csv
IN605,Third Colombian,Intra-State War (国内战争-中央政府),4,1876-07-26,1877-07-01,Colombia,Conservatives,,胜利 (Victory),3870,北美 (North America),Intra-StateWarData_v4.1.csv
IN607,Satsuma Rebellion,Intra-State War (国内战争-地方政府),5,1877-01-29,1877-09-24,Japan,Satsumas,,胜利 (Victory),17000,亚洲 (Asia),Intra-StateWarData_v4.1.csv
IS61,Second Russo-Turkish,Inter-State War (国家间战争),1,1877-04-24,1878-01-31,Russia,Turkey,Russia,胜利 (Victory),285000,Unknown,Inter-StateWarData_v4.0.csv
ES374,Third British-Xhosa,Extra-State War (国家对外战争),2,1877-08-01,1878-06-01,United Kingdom,S. Africa Xhosa,,胜利 (Victory),200,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES375,Egypt-Sudanese Slavers,Extra-State War (国家对外战争),3,1878-02-01,1879-07-01,Egypt,Sudanese Slavers,Egypt,胜利 (Victory),0,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
ES376,Russo-Turkoman,Extra-State War (国家对外战争),3,1878-05-01,1881-01-24,Russia,Turkomans,Russia,胜利 (Victory),2000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES377,Austrian-Bosnian,Extra-State War (国家对外战争),3,1878-07-29,1878-10-01,Austria-Hungary,Bosnia,Austria-Hungary,胜利 (Victory),3500,西欧 (Western Europe),Extra-StateWarData_v4.0.csv
ES379,Second British-Afghan,Extra-State War (国家对外战争),3,1878-11-21,1879-05-26,United Kingdom,Afghanistan,United Kingdom,胜利 (Victory),10000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES380,Second British-Zulu,Extra-State War (国家对外战争),3,1879-01-11,1879-07-04,United Kingdom,Zulu,United Kingdom,胜利 (Victory),2500,拉美 (Latin America),Extra-StateWarData_v4.0.csv
IS64,War of the Pacific,Inter-State War (国家间战争),1,1879-02-14,1883-12-11,Chile,Peru; Bolivia,Bolivia,胜利 (Victory),13868,北美 (North America),Inter-StateWarData_v4.0.csv
IN608,Argentine Indians,Intra-State War (国内战争-地方政府),5,1879-04-06,1880-07-08,Argentina,Indians,,胜利 (Victory),1700,北美 (North America),Intra-StateWarData_v4.1.csv
IN610,Fourth Buenos Aires,Intra-State War (国内战争-地方政府),5,1880-06-21,1880-07-21,Argentina,Buenos Aires,,胜利 (Victory),1200,北美 (North America),Intra-StateWarData_v4.1.csv
ES381,Gun War,Extra-State War (国家对外战争),2,1880-09-01,1881-04-01,United Kingdom,Basuto,United Kingdom,胜利 (Victory),0,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES382,First Boer War,Extra-State War (国家对外战争),2,1880-12-16,1881-04-05,United Kingdom,Transvaal,,失败 (Defeat),900,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES383,Franco-Tunisian,Extra-State War (国家对外战争),3,1881-06-01,1882-04-04,France,Tunisia,,胜利 (Victory),3500,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
ES384,First British-Mahdi,Extra-State War (国家对外战争),2,1881-08-01,1882-09-15,Egypt; United Kingdom,-8; Mahdist Empire,,失败 (Defeat),30000,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
ES385,Third Franco-Vietnamese,Extra-State War (国家对外战争),3,1882-04-25,1884-06-14,France; -8,"Vietnam, Black Flag; China",France,转型 (Transformed),5500,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IS65,Conquest of Egypt,Inter-State War (国家间战争),1,1882-07-11,1882-09-15,United Kingdom,Egypt,United Kingdom,胜利 (Victory),10079,中东/北非 (Middle East/North Africa),Inter-StateWarData_v4.0.csv
IN611,Haitian Civil War,Intra-State War (国内战争-中央政府),4,1883-03-27,1884-01-08,Haiti,Liberals,,胜利 (Victory),8100,北美 (North America),Intra-StateWarData_v4.1.csv
NS1556,Second Zulu Internecine War,Non-State War (非国家战争),8,1883-03-28,1884-06-04,Cetewayo faction; -8,Zibelu faction; -8; -8; -8; -8,Cetewayo faction,胜利 (Victory),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
ES386,First Franco-Madagascan,Extra-State War (国家对外战争),3,1883-05-07,1885-12-12,France,Madagasar,France,胜利 (Victory),300,拉美 (Latin America),Extra-StateWarData_v4.0.csv
NS1557,Oman-Ibadi War,Non-State War (非国家战争),8,1883-10-01,1884-01-01,Oman; -8,Ibadi; -8; -8; -8; -8,Ibadi,胜利 (Victory),0,中东/北非 (Middle East/North Africa),Non-StateWarData_v4.0.csv
IS67,Sino-French,Inter-State War (国家间战争),1,1884-06-15,1885-06-09,France,China,China,胜利 (Victory),12100,亚洲 (Asia),Inter-StateWarData_v4.0.csv
NS1558,Second Australian Aboriginal War,Non-State War (非国家战争),8,1884-08-01,1894-11-16,Aborigines; -8,White Settlers; -8; -8; -8; -8,White Settlers,释放 (Released),10000,跨地区 (Multi-regional),Non-StateWarData_v4.0.csv
IN612,Fourth Colombian,Intra-State War (国内战争-中央政府),4,1884-11-15,1885-08-26,Colombia,Liberals,,胜利 (Victory),1000,北美 (North America),Intra-StateWarData_v4.1.csv
ES389,French-Mandinka,Extra-State War (国家对外战争),3,1885-01-01,1886-01-01,France,Mandinka,France,胜利 (Victory),1000,拉美 (Latin America),Extra-StateWarData_v4.0.csv
IN613,Peru's National Problem,Intra-State War (国内战争-地方政府),5,1885-03-02,1885-05-25,Peru,Indians,,胜利 (Victory),2200,北美 (North America),Intra-StateWarData_v4.1.csv
IS70,Second Central American,Inter-State War (国家间战争),1,1885-03-28,1885-04-15,El Salvador,Guatemala,,胜利 (Victory),1000,北美 (North America),Inter-StateWarData_v4.0.csv
ES390,Russo-Afghan,Extra-State War (国家对外战争),3,1885-03-30,1885-04-01,Russia,Afghanistan,Russia,妥协 (Compromise),1000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1559,Ethiopia-Mahdi War,Non-State War (非国家战争),8,1885-05-01,1889-03-12,Ethiopia; -8,Mahdist army; -8; -8; -8; -8,Ethiopia,失败 (Defeat),30000,拉美 (Latin America),Non-StateWarData_v4.0.csv
ES391,Serbian-Bulgarian,Extra-State War (国家对外战争),3,1885-11-02,1885-12-07,Serbia,Bulgaria,Serbia,失败 (Defeat),2000,西欧 (Western Europe),Extra-StateWarData_v4.0.csv
ES387,Third British-Burmese,Extra-State War (国家对外战争),3,1885-11-10,1889-01-01,United Kingdom,Burma,United Kingdom,胜利 (Victory),3000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES392,First Italian-Ethiopian,Extra-State War (国家对外战争),3,1887-01-24,1887-03-01,Italy,Ethiopia,Italy,妥协 (Compromise),1000,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES393,Zambezi Conquest,Extra-State War (国家对外战争),3,1888-01-01,1888-01-01,Portugal,Prazero da Cruz,Portugal,胜利 (Victory),0,拉美 (Latin America),Extra-StateWarData_v4.0.csv
NS1560,German East Africa Company War,Non-State War (非国家战争),8,1888-09-01,1889-05-01,German East Africa Company; -8,Arabs; Swahili; -8; -8; -8,Arabs,胜利 (Victory),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
ES394,First Franco-Dahomeyan,Extra-State War (国家对外战争),3,1890-03-01,1890-04-20,France,Dahomey,France,胜利 (Victory),200,拉美 (Latin America),Extra-StateWarData_v4.0.csv
IN616,First Yemen Rebellion,Intra-State War (国内战争-地方政府),5,1890-04-01,1892-09-01,Ottoman Empire,Zaidi Imam,,胜利 (Victory),-18,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
ES395,Franco-Jolof,Extra-State War (国家对外战争),3,1890-04-01,1891-02-24,France,Jolof/Tukulor,France,胜利 (Victory),100,拉美 (Latin America),Extra-StateWarData_v4.0.csv
IN617,Second Chilean,Intra-State War (国内战争-中央政府),4,1891-01-07,1891-08-29,Chile,Congressists,,失败 (Defeat),1700,北美 (North America),Intra-StateWarData_v4.1.csv
IN618,Zaili-Jinden Revolt,Intra-State War (国内战争-地方政府),5,1891-11-11,1891-12-27,China,Zaili & Jindan Sects,,胜利 (Victory),10500,亚洲 (Asia),Intra-StateWarData_v4.1.csv
ES396,Second Franco-Dahomeyan,Extra-State War (国家对外战争),3,1892-09-19,1893-11-09,France,Dahomey,France,胜利 (Victory),80,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES397,Belgian-Tib,Extra-State War (国家对外战争),3,1892-10-01,1894-02-01,Belgium,Tippu Tib Empire,Belgium,胜利 (Victory),7000,拉美 (Latin America),Extra-StateWarData_v4.0.csv
NS1561,Rabih Zubayr-Bornu War,Non-State War (非国家战争),8,1893-01-01,1893-01-01,Rabah; -8,Bornu; -8; -8; -8; -8,Rabah,胜利 (Victory),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
IN620,Brazil Federalists,Intra-State War (国内战争-地方政府),5,1893-02-02,1894-08-31,Brazil,Rio Grande do Sul,,胜利 (Victory),1491,北美 (North America),Intra-StateWarData_v4.1.csv
IN621,Brazil Naval,Intra-State War (国内战争-中央政府),4,1893-09-06,1894-04-16,Brazil,Naval Royalists,,胜利 (Victory),991,北美 (North America),Intra-StateWarData_v4.1.csv
ES398,Third British-Ashanti,Extra-State War (国家对外战争),3,1893-09-28,1894-01-01,United Kingdom,Ashanti,,胜利 (Victory),200,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES399,Melilla War,Extra-State War (国家对外战争),3,1893-09-29,1894-03-05,Spain,Rif tribes,,胜利 (Victory),1000,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
ES400,Mahdist-Italian,Extra-State War (国家对外战争),3,1893-12-21,1894-07-12,Italy,Mahdist Empire,,胜利 (Victory),270,拉美 (Latin America),Extra-StateWarData_v4.0.csv
